Codigo,Nombre del producto,Sku,Se puede comprar,Se puede vender,Se puede regalar,Condiciones para regalarlo,Tipo de producto,Estatus,Línea,Estilo,Tipo de Linea de producción,Tipo de Producto,Color,Sexo,Talla,Liso o Contrastado,"Tipo de tela ( poner el codigo de la tela que usan para producto. Si no tienen codigo, ver campo A)",Peso (gramos) con bolsa,Código de barras,Referencia interna- Opcional-,Colchón de insumos en %,Minimo a Producir,Tiempo de Reabastecimiento de Insumos,Punto de Reorden de Insumos,ubicación en Picking,Cantidad de operaciones,Punto de Reorden (a calcular),Máximos por producir,Multiplo de producción,Tiempo de producción (SAM),Comportamiento de ventas,Categoria,Amigos/Enemigos,Complejidad,Número de vivos,Vivos/ No vivos,Minimo en inventario en piezas-  en días de rotación- RITMO CRUCERO,RITMO INICIAL,RITMO ESTANQUE,RITMO FIN DE CICLO,Familia de medida compra,Unidad de medida,Familia de medida uso,Unidad de medida uso,unidad de conversión,Edición Limitada,% Descuento,Liquidaciones,Aplica cambio ,Costo de Compra,Precios de Irregulares,Promedio de Ventas,Stock Máximo   ,Colchon,Precio mínimo de venta,Precio de Mayoreo,Descripción para internet- Vendelo,Tipo de seguimiento,Tipo de Prenda
A001-203-XL,"Top mujer ""cuello V""  Ceniza contraste Coral",A001-203-XL,No,Si,Si,N/A,Almacenable,Inactivo,Audaz,A001,Top,Top,203-CENIZA,Mujer,XL,Contrastado,TTR-18-5203TCX-PEWTER,0.320,A001203XL,,,,,,,30,,,24,15.15,Estable,,De todos ,1,,,,,,,N/A,pz,unidades,pz,N/A,,,No aplica cambio ,,39.536829,150,0.10,144,20%, $460.00 , $285.00 ,"Blusa médica de estilo audaz y moderno. Su cuello en ""V"" te hará resaltar en los momentos de máxima presión. Su color ceniza representa la templanza con que sorteas los retos del día.",Lote,Top
A002-203-L,"Top mujer ""cuello cruzado"" Ceniza",A002-203-L,No,Si,Si,N/A,Almacenable,Inactivo,Audaz,A001,Top,Top,203-PEWTER,Mujer,L ,Liso,TTR-18-5203TCX-PEWTER,0.320,A002203L ,,,,,,ROJO-D-133,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,,150,,,20%, $460.00 , $285.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-203-M,"Top mujer ""cuello cruzado"" Ceniza",A002-203-M,No,Si,Si,N/A,Almacenable,Inactivo,Audaz,A001,Top,Top,203-PEWTER,Mujer,M ,Liso,TTR-18-5203TCX-PEWTER,0.285,A002203M,,,,,,ROJO-A-136,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,,150,,,20%, $460.00 , $285.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-203-S,"Top mujer ""cuello cruzado"" Ceniza",A002-203-S,No,Si,Si,N/A,Almacenable,Inactivo,Audaz,A001,Top,Top,203-PEWTER,Mujer,S,Liso,TTR-18-5203TCX-PEWTER,0.280,A002203S,,,,,,ROJO-C-134,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,,150,,,20%, $460.00 , $285.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-203-XS,"Top mujer ""cuello cruzado"" Ceniza",A002-203-XS,No,Si,Si,N/A,Almacenable,Inactivo,Audaz,A001,Top,Top,203-PEWTER,Mujer,XS,Liso,TTR-18-5203TCX-PEWTER,0.270,A002203XS,,,,,,ROJO-B-135,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,,150,,,20%, $460.00 , $285.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-203-XL,"Top mujer ""cuello cruzado"" Ceniza",A002-203-XL,No,Si,Si,N/A,Almacenable,Inactivo,Audaz,A001,Top,Top,203-PEWTER,Mujer,XL,Liso,TTR-18-5203TCX-PEWTER,0.345,A002203XL,,,,,,ROJO-E-132,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,,150,,,20%, $460.00 , $285.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-001-L,"Top mujer ""cuello cruzado"" Blanco",A002-001-L,No,Si,Si,N/A,Almacenable,Activo,Audaz,A002,Top,Top,001-BLANCO,Mujer,L ,Liso,TTR-WHIT,0.320,A002001L ,,,,,,ROJO-F-75,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,55.285513,150,1.10,144,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-001-M,"Top mujer ""cuello cruzado"" Blanco",A002-001-M,No,Si,Si,N/A,Almacenable,Activo,Audaz,A002,Top,Top,001-BLANCO,Mujer,M ,Liso,TTR-WHIT,0.285,A002001M ,,,,,,ROJO-A-80,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,55.173861,150,1.68,216,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-001-S,"Top mujer ""cuello cruzado"" Blanco",A002-001-S,No,Si,Si,N/A,Almacenable,Activo,Audaz,A002,Top,Top,001-BLANCO,Mujer,S,Liso,TTR-WHIT,0.280,A002001S,,,,,,ROJO-D-77   ROJO-E-76,46,,,24,20.80,Estable,A,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,55.337349,150,2.11,216,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-001-XS,"Top mujer ""cuello cruzado"" Blanco",A002-001-XS,No,Si,Si,N/A,Almacenable,Activo,Audaz,A002,Top,Top,001-BLANCO,Mujer,XS,Liso,TTR-WHIT,0.270,A002001XS,,,,,,ROJO-C-78   ROJO-B-79,46,,,24,20.80,Estable,A,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,54.955583,150,1.68,216,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-001-XL,"Top mujer ""cuello cruzado"" Blanco",A002-001-XL,No,Si,Si,N/A,Almacenable,Activo,Audaz,A002,Top,Top,001-BLANCO,Mujer,XL,Liso,TTR-WHIT,0.345,A002001XL,,,,,,ROJO-G-74,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,54.933296,150,0.18,144,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-001-XXL,"Top mujer ""cuello cruzado"" Blanco",A002-001-XXL,No,Si,Si,N/A,Almacenable,Activo,Audaz,A002,Top,Top,001-BLANCO,Mujer,XXL,Liso,TTR-WHIT,0.365,A002001XXL,,,,,,ROJO-H-73,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,55.350001,150,0.30,144,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-027-L,"Top mujer ""cuello cruzado"" Naval",A002-027-L,No,Si,Si,N/A,Almacenable,Activo,Audaz,A002,Top,Top,027-NAVAL,Mujer,L ,Liso,TTR-19-4027TCX-MEDIEVAL,0.320,A002027L ,,,,,,ROJO-D-37,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,54.95143,150,0.61,144,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-027-M,"Top mujer ""cuello cruzado"" Naval",A002-027-M,No,Si,Si,N/A,Almacenable,Activo,Audaz,A002,Top,Top,027-NAVAL,Mujer,M ,Liso,TTR-19-4027TCX-MEDIEVAL,0.285,A002027M ,,,,,,ROJO-A-40,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,55.241741,150,1.11,216,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-027-S,"Top mujer ""cuello cruzado"" Naval",A002-027-S,No,Si,Si,N/A,Almacenable,Activo,Audaz,A002,Top,Top,027-NAVAL,Mujer,S,Liso,TTR-19-4027TCX-MEDIEVAL,0.280,A002027S,,,,,,ROJO-B-39,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,55.331982,150,0.95,216,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-027-XS,"Top mujer ""cuello cruzado"" Naval",A002-027-XS,No,Si,Si,N/A,Almacenable,Activo,Audaz,A002,Top,Top,027-NAVAL,Mujer,XS,Liso,TTR-19-4027TCX-MEDIEVAL,0.270,A002027XS,,,,,,ROJO-C-38,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,56.111625,150,0.83,216,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-027-XL,"Top mujer ""cuello cruzado"" Naval",A002-027-XL,No,Si,Si,N/A,Almacenable,Activo,Audaz,A002,Top,Top,027-NAVAL,Mujer,XL,Liso,TTR-19-4027TCX-MEDIEVAL,0.345,A002027XL,,,,,,ROJO-E-36,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,55.30905,150,0.23,144,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-027-XXL,"Top mujer ""cuello cruzado"" Naval",A002-027-XXL,No,Si,Si,N/A,Almacenable,Activo,Audaz,A002,Top,Top,027-NAVAL,Mujer,XXL,Liso,TTR-19-4027TCX-MEDIEVAL,0.365,A002027XXL,,,,,,ROJO-F-35,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,54.275502,150,0.09,144,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-4045-L,"Top mujer ""cuello cruzado"" Oceano",A002-4045-L,No,Si,Si,N/A,Almacenable,Inactivo,Audaz,A002,Top,Top,4045-OCEANO,Mujer,L ,Liso,TTR-19-4045TCX-LAPIS BLUE,0.320,A0024045L ,,,,,,,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,54.487498,150,0.37,144,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-4045-M,"Top mujer ""cuello cruzado"" Oceano",A002-4045-M,No,Si,Si,N/A,Almacenable,Inactivo,Audaz,A002,Top,Top,4045-OCEANO,Mujer,M ,Liso,TTR-19-4045TCX-LAPIS BLUE,0.285,A0024045M ,,,,,,,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,54.850425,150,0.88,216,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-4045-S,"Top mujer ""cuello cruzado"" Oceano",A002-4045-S,No,Si,Si,N/A,Almacenable,Inactivo,Audaz,A002,Top,Top,4045-OCEANO,Mujer,S,Liso,TTR-19-4045TCX-LAPIS BLUE,0.280,A0024045S,,,,,,,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,54.945204,150,0.77,216,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-4045-XS,"Top mujer ""cuello cruzado"" Oceano",A002-4045-XS,No,Si,Si,N/A,Almacenable,Inactivo,Audaz,A002,Top,Top,4045-OCEANO,Mujer,XS,Liso,TTR-19-4045TCX-LAPIS BLUE,0.270,A0024045XS,,,,,,,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,54.697754,150,0.50,216,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-4045-XL,"Top mujer ""cuello cruzado"" Oceano",A002-4045-XL,No,Si,Si,N/A,Almacenable,Inactivo,Audaz,A002,Top,Top,4045-OCEANO,Mujer,XL,Liso,TTR-19-4045TCX-LAPIS BLUE,0.345,A0024045XL,,,,,,,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,55.320907,150,0.16,144,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-570-L,"Top mujer ""cuello cruzado"" Negro",A002-570-L,No,Si,Si,N/A,Almacenable,Activo,Audaz,A002,Top,Top,570-NEGRO,Mujer,L ,Liso,TTR-19-570TCX-BLACK,0.320,A002570L ,,,,,,ROJO-D-4,46,,,24,20.80,Estable,Por definir ,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,#N/D,150,,72,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-570-M,"Top mujer ""cuello cruzado"" Negro",A002-570-M,No,Si,Si,N/A,Almacenable,Activo,Audaz,A002,Top,Top,570-NEGRO,Mujer,M ,Liso,TTR-19-570TCX-BLACK,0.285,A002570M ,,,,,,ROJO-A-1,46,,,24,20.80,Estable,Por definir ,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,#N/D,150,0.01,108,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-570-S,"Top mujer ""cuello cruzado"" Negro",A002-570-S,No,Si,Si,N/A,Almacenable,Activo,Audaz,A002,Top,Top,570-NEGRO,Mujer,S,Liso,TTR-19-570TCX-BLACK,0.280,A002570S,,,,,,ROJO-B-2,46,,,24,20.80,Estable,Por definir ,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,55.36024,150,0.04,108,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-570-XS,"Top mujer ""cuello cruzado"" Negro",A002-570-XS,No,Si,Si,N/A,Almacenable,Activo,Audaz,A002,Top,Top,570-NEGRO,Mujer,XS,Liso,TTR-19-570TCX-BLACK,0.270,A002570XS,,,,,,ROJO-C-3,46,,,24,20.80,Estable,Por definir ,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,55.36024,150,,108,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-570-XL,"Top mujer ""cuello cruzado"" Negro",A002-570-XL,No,Si,Si,N/A,Almacenable,Activo,Audaz,A002,Top,Top,570-NEGRO,Mujer,XL,Liso,TTR-19-570TCX-BLACK,0.345,A002570XL,,,,,,ROJO-D-5,46,,,24,20.80,Estable,Por definir ,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,#N/D,150,,72,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-570-XXL,"Top mujer ""cuello cruzado"" Negro",A002-570-XXL,No,Si,Si,N/A,Almacenable,Activo,Audaz,A002,Top,Top,570-NEGRO,Mujer,XXL,Liso,TTR-19-570TCX-BLACK,0.365,A002570XXL,,,,,,ROJO-F-6,46,,,24,20.80,Estable,Por definir ,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,#N/D,150,,72,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-421-L,"Top mujer ""cuello cruzado"" Cactus",A002-421-L,No,Si,Si,N/A,Almacenable,Activo,Audaz,A002,Top,Top,421-AVENTURINE,Mujer,L ,Liso,TTR-18-5421-TCX-AVENTURINE,0.320,A002421L ,,,,,,ROJO-D-109,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,55.316936,150,0.38,144,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-421-M,"Top mujer ""cuello cruzado"" Cactus",A002-421-M,No,Si,Si,N/A,Almacenable,Activo,Audaz,A002,Top,Top,421-AVENTURINE,Mujer,M ,Liso,TTR-18-5421-TCX-AVENTURINE,0.285,A002421M ,,,,,,ROJO-A-112,46,,,24,20.80,Estable,B,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,55.343571,150,0.74,216,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
A002-421-S,"Top mujer ""cuello cruzado"" Cactus",A002-421-S,No,Si,Si,N/A,Almacenable,Activo,Audaz,A002,Top,Top,421-AVENTURINE,Mujer,S,Liso,TTR-18-5421-TCX-AVENTURINE,0.280,A002421S,,,,,,ROJO-C-110,46,,,24,20.80,Estable,A,AH003,2,,,,,,,N/A,pz,unidades,pz,N/A,,,,SI,55.353639,150,0.95,216,20%, $480.00 , $325.00 ,Estrena este top de cuello cruzado y has match con un estilo fresco.No se pega al cuerpo ofreciendote libertad y es suave al tacto¡Un uniforme quirurgico nunca se sintio tan bien!,Lote,Top
